name	id	coaching_history	current_team_head_coached
Turner Gill	/guid/9202a8c04000641f80000000008ab93d		
Tom Nugent	/guid/9202a8c04000641f8000000000a18019		
Pat Peppler	/guid/9202a8c04000641f8000000000b75bff	/guid/9202a8c04000641f8000000009c786f5	
Mickey Matthews	/guid/9202a8c04000641f800000000094d83a		
John McKay	/guid/9202a8c04000641f8000000000814645	/guid/9202a8c04000641f8000000009c77c4a	
A.F. Holste	/guid/9202a8c04000641f8000000006ee7bc4		
Norm Van Brocklin	/guid/9202a8c04000641f8000000000342152	/guid/9202a8c04000641f8000000009c7772a,/guid/9202a8c04000641f8000000009c786ed	
Pepper Rodgers	/guid/9202a8c04000641f80000000009f342a		
Jerry Pettibone	/guid/9202a8c04000641f8000000000d21a63		
Lloyd Carr	/guid/9202a8c04000641f800000000053b40e		
Bill Walsh	/guid/9202a8c04000641f800000000000aad4	/guid/9202a8c04000641f8000000009c7891f	
Rich Brooks	/guid/9202a8c04000641f8000000000804d0a	/guid/9202a8c04000641f8000000009c78715,/guid/9202a8c04000641f8000000009c77e12	
Lou Saban	/guid/9202a8c04000641f800000000021f57c		
Lamar Hunt	/guid/9202a8c04000641f80000000001de6e5		
Phillip Fulmer	/guid/9202a8c04000641f80000000006f7209		
Norm Chow	/guid/9202a8c04000641f80000000007fc640		
Ron Zook	/guid/9202a8c04000641f8000000000701c5d		
Jim Walden	/guid/9202a8c04000641f80000000045da7c7		
Jimbo Fisher	/guid/9202a8c04000641f800000000460527a		
Ray Morrison	/guid/9202a8c04000641f800000000465c91c		
Bob Voigts	/guid/9202a8c04000641f80000000045da455		
John Bridgers	/guid/9202a8c04000641f80000000056cedea		
Max Oppy	/guid/9202a8c04000641f80000000055ead3b	/guid/9202a8c04000641f800000000a190a2e	
Joel Hunt	/guid/9202a8c04000641f80000000045da38f		
Josh Cody	/guid/9202a8c04000641f80000000047392d0		
Tommy Tate	/guid/9202a8c04000641f80000000091cd745		
Gary Pinkel	/guid/9202a8c04000641f80000000008b6a1c		
Dean Pees	/guid/9202a8c04000641f8000000000a06ecc		
Dan Hawkins	/guid/9202a8c04000641f800000000090851a		
